PQA Version:,3.0,
#33.0<33.0 33.0>,0.000000,29.000000,2.999335,2.587852,4.394760,--,--,35.464314,
#34.0<34.0 34.0>,0.000000,29.000000,2.907984,2.500158,4.250607,--,--,35.749077,
#35.0<35.0 35.0>,0.000000,30.000000,2.883500,2.481802,4.220158,--,--,35.812912,
#36.0<36.0 36.0>,0.000000,34.000000,2.938513,2.557970,4.328497,--,--,35.612064,
#37.0<37.0 37.0>,0.000000,29.000000,2.894888,2.511381,4.255027,--,--,35.749851,
#38.0<38.0 38.0>,0.000000,34.000000,3.033203,2.648561,4.471105,--,--,35.324699,
#39.0<39.0 39.0>,0.000000,30.000000,2.991302,2.602674,4.402668,--,--,35.458054,
#40.0<40.0 40.0>,0.000000,36.000000,2.943856,2.566763,4.339774,--,--,35.588253,
#41.0<41.0 41.0>,0.000000,30.000000,3.005244,2.621733,4.432809,--,--,35.405140,
#42.0<42.0 42.0>,0.000000,31.000000,2.949002,2.550478,4.326740,--,--,35.602661,
#43.0<43.0 43.0>,0.000000,35.000000,2.953933,2.554675,4.334851,--,--,35.588127,
#44.0<44.0 44.0>,0.000000,33.000000,3.200292,2.701366,4.621315,--,--,34.981026,
#45.0<45.0 45.0>,0.000000,34.000000,2.882730,2.477951,4.225135,--,--,35.818108,
#46.0<46.0 46.0>,0.000000,35.000000,3.015806,2.579321,4.400085,--,--,35.446392,
#47.0<47.0 47.0>,0.000000,32.000000,2.944688,2.530218,4.307312,--,--,35.640095,
#48.0<48.0 48.0>,0.000000,30.000000,2.945199,2.490743,4.269990,--,--,35.696655,
#49.0<49.0 49.0>,0.000000,37.000000,3.264301,2.718409,4.677990,--,--,34.859371,
#50.0<50.0 50.0>,0.000000,30.000000,2.900082,2.461074,4.211072,--,--,35.813995,
#51.0<51.0 51.0>,0.000000,32.000000,3.044662,2.596761,4.430061,--,--,35.376221,
#52.0<52.0 52.0>,0.000000,31.000000,2.973724,2.567754,4.357843,--,--,35.537796,
#53.0<53.0 53.0>,0.000000,32.000000,2.987471,2.551019,4.352091,--,--,35.539215,
#54.0<54.0 54.0>,0.000000,28.000000,3.319743,2.795530,4.784364,--,--,34.673218,
#55.0<55.0 55.0>,0.000000,29.000000,2.922225,2.516969,4.278356,--,--,35.697792,
#56.0<56.0 56.0>,0.000000,31.000000,3.000605,2.620301,4.429790,--,--,35.415684,
#57.0<57.0 57.0>,0.000000,30.000000,2.980932,2.577400,4.373063,--,--,35.513004,
#58.0<58.0 58.0>,0.000000,29.000000,3.084464,2.656768,4.516657,--,--,35.225697,
#59.0<59.0 59.0>,0.000000,33.000000,3.054094,2.603864,4.444376,--,--,35.350327,
#60.0<60.0 60.0>,0.000000,34.000000,3.000212,2.551739,4.362629,--,--,35.514496,
#61.0<61.0 61.0>,0.000000,27.000000,2.915548,2.471021,4.225672,--,--,35.775261,
#62.0<62.0 62.0>,0.000000,31.000000,2.957757,2.522739,4.306777,--,--,35.627060,
#63.0<63.0 63.0>,0.000000,34.000000,3.069215,2.654602,4.503140,--,--,35.256462,
#64.0<64.0 64.0>,0.000000,29.000000,3.003048,2.581271,4.388351,--,--,35.467327,
#65.0<65.0 65.0>,0.000000,30.000000,2.952132,2.564487,4.341085,--,--,35.577141,
#66.0<66.0 66.0>,0.000000,32.000000,3.006694,2.626305,4.438709,--,--,35.395874,
#67.0<67.0 67.0>,0.000000,35.000000,2.949944,2.576333,4.348946,--,--,35.563351,
#68.0<68.0 68.0>,0.000000,41.000000,3.073978,2.702202,4.548980,--,--,35.180901,
#69.0<69.0 69.0>,0.000000,32.000000,3.008570,2.622965,4.429976,--,--,35.397228,
#70.0<70.0 70.0>,0.000000,30.000000,2.984498,2.615469,4.405712,--,--,35.451988,
#71.0<71.0 71.0>,0.000000,31.000000,3.036948,2.667813,4.491117,--,--,35.290314,
#72.0<72.0 72.0>,0.000000,27.000000,3.003704,2.605854,4.409781,--,--,35.430855,
#73.0<73.0 73.0>,0.000000,33.000000,3.143769,2.722684,4.611239,--,--,35.040619,
#74.0<74.0 74.0>,0.000000,32.000000,3.038595,2.635392,4.463034,--,--,35.332890,
#75.0<75.0 75.0>,0.000000,33.000000,2.986152,2.579947,4.373547,--,--,35.499973,
#76.0<76.0 76.0>,0.000000,32.000000,3.075014,2.666146,4.520957,--,--,35.229382,
#77.0<77.0 77.0>,0.000000,39.000000,2.978916,2.563075,4.353149,--,--,35.534660,
#78.0<78.0 78.0>,0.000000,30.000000,3.003258,2.589046,4.395737,--,--,35.455727,
#79.0<79.0 79.0>,0.000000,31.000000,3.067978,2.652260,4.495651,--,--,35.261497,
#80.0<80.0 80.0>,0.000000,34.000000,3.027365,2.617905,4.441278,--,--,35.373428,
#81.0<81.0 81.0>,0.000000,31.000000,3.132374,2.697365,4.586850,--,--,35.091782,
#82.0<82.0 82.0>,0.000000,35.000000,3.044008,2.625725,4.457055,--,--,35.336342,
#83.0<83.0 83.0>,0.000000,30.000000,3.357123,2.820014,4.835700,--,--,34.582191,
#84.0<84.0 84.0>,0.000000,29.000000,3.095942,2.648317,4.512906,--,--,35.223164,
